
 Lista de Imóveis da Caixa;;Data de geração:;22/04/2026;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Financiamento;Descrição;Modalidade de venda;Link de acesso

 8555502979871 ;SP ;AMERICANA ;JARDIM PROGRESSO ;RUA ARNO TOGNETTA, N. 401, Apto 204, BL 01 GARAGEM 12 ;200.000,00;200.000,00;0.00;Não;Apartamento, 0.00 de área total, 50.20 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555502979871
 8555536142974 ;SP ;AMERICANA ;JARDIM SANTA ELIZA ;AVENIDA ANTONIO CENTURIONE BOER, N. 540, Apto 111, BL 02, VG 119 ;260.000,00;260.000,00;0.00;Não;Apartamento, 0.00 de área total, 51.76 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555536142974
 8787702986902 ;SP ;AMERICANA ;JARDIM DOS LIRIOS ;RUA UIRAPURU, N. 445, Apto 31, 3º PAV, BL E, VAGA 104 ;170.900,00;170.900,00;0.00;Não;Apartamento, 67.27 de área total, 50.10 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787702986902
 8444411875761 ;SP ;AMERICANA ;JARDIM DA BALSA II ;RUA RIO PIQUIRI, N. 194, LT 42-A, QD 17 ;246.000,00;246.000,00;0.00;Não;Casa, 77.84 de área total, 77.84 de área privativa, 107.93 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444411875761
 8787714119583 ;SP ;AMERICANA ;BAIRRO PACAEMBU ;RUA MARIA AMELIA SANTOS STEFANI, N. 350, CS 04 ;275.000,00;275.000,00;0.00;Não;Casa, 113.91 de área total, 69.37 de área privativa, 36.96 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787714119583
 8787715554828 ;SP ;AMERICANA ;BALSA ;RUA JOSE ANTONIO RODRIGUES - ZÉ PULGA, N. 420, Apto 05, BL B ;230.000,00;230.000,00;0.00;Não;Apartamento, 73.43 de área total, 49.22 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787715554828
 8787714750437 ;SP ;AMERICANA ;BALSA ;RUA JOSE ANTONIO RODRIGUES - ZÉ PULGA, N. 420, Apto 14, 1º PAV, BL B ;229.110,80;227.000,00;0.00;Não;Apartamento, 73.43 de área total, 49.22 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787714750437
 8787717266056 ;SP ;AMERICANA ;BALSA ;RUA JOSE ANTONIO RODRIGUES - ZE PULGA, N. 420, Apto 21, 2º PAV BL E ;249.331,10;240.000,00;0.00;Não;Apartamento, 73.43 de área total, 49.22 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787717266056
 8787714426800 ;SP ;AMERICANA ;BAIRRO PACAEMBU ;RUA MARIA AMELIA SANTOS STEFANI, N. 350, CS 208 ;274.538,30;260.000,00;0.00;Não;Casa, 127.36 de área total, 71.12 de área privativa, 38.71 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787714426800
 8787718417376 ;SP ;AMERICANA ;BAIRRO PACAEMBU ;RUA MARIA AMELIA SANTOS STEFANI, N. 350, CASA 142 ;271.106,90;256.000,00;0.00;Não;Casa, 112.50 de área total, 55.97 de área privativa, 37.49 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), 1 lavabo(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787718417376
 8787707101496 ;SP ;AMERICANA ;MORADA DO SOL ;AVENIDA SAO JERONIMO, N. 2750, Apto 107, TÉRREO, BL 22, GLEBA A3B, VAGA 373 ;180.517,70;141.000,00;0.00;Não;Apartamento, 90.58 de área total, 38.92 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787707101496
 8787716917444 ;SP ;AMERICANA ;BALSA ;RUA JOSE ANTONIO RODRIGUES, N. 420, Apto 27, BL E ;245.495,70;190.000,00;0.00;Não;Apartamento, 71.05 de área total, 47.63 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787716917444
 8787720250602 ;SP ;AMERICANA ;BALSA ;RUA JOSE ANTONIO RODRIGUES, N. 420, Apto 58, 5º PAV, BL D ;291.566,40;218.000,00;0.00;Não;Apartamento, 73.43 de área total, 49.22 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787720250602
 8787719949134 ;SP ;AMERICANA ;BALSA ;RUA JOSE ANTONIO RODRIGUES, N. 420, Apto 51, BL D ;291.848,60;218.000,00;0.00;Não;Apartamento, 73.43 de área total, 49.22 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787719949134
 8787720766315 ;SP ;AMERICANA ;BALSA ;RUA JOSE ANTONIO RODRIGUES, N. 420, Apto 62, 6 PAVIMENTO BL E ;286.576,27;205.000,00;0.00;Não;Apartamento, 71.05 de área total, 47.63 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787720766315
 1555520799644 ;SP ;ANGATUBA ;CENTRO ;RUA ESPIRITO SANTO, N. 392, ;1.130.500,00;1.130.500,00;0.00;Não;Casa, 294.94 de área total, 294.94 de área privativa, 375.24 de área do terreno,  3 qto(s), a.serv, WC, WC Emp, 2 sala(s).;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1555520799644
 8444421906252 ;SP ;ARACATUBA ;AVIACAO ;RUA AVIACAO, N. 1196, Apto 42, BL 4B ;42.224,07;81.000,00;47.88;Não;Apartamento, 0.00 de área total, 42.72 de área privativa, 0.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444421906252
 8787712540389 ;SP ;ARACATUBA ;RESIDENCIAL SYLVIO JOSE VENTUROLLI ;RUA BELARMINO PIRES, N. 915, LOTE 46, QD 31 ;81.232,99;150.000,00;45.85;Não;Casa, 44.82 de área total, 44.82 de área privativa, 152.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787712540389
 8787708422148 ;SP ;ARACATUBA ;AVIACAO ; ESTRADA VIVINAL FAUSE CHADE, N. 399, Apto 402, BL 13 ;74.436,59;128.500,00;42.08;Não;Apartamento, 84.71 de área total, 39.30 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787708422148
 8787714243799 ;SP ;ARACATUBA ;ROSELE ;RUA NOEL ROSA, N. 719, Apto 401, BL03 - 4º PAV - VG18 ;78.201,87;135.000,00;42.08;Não;Apartamento, 84.65 de área total, 39.30 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787714243799
 8787708525648 ;SP ;ARACATUBA ;AVIACAO ; ESTRADA VICINAL FAUSE CHADE, N. 399, Apto 404, BL 15 ;83.779,70;143.099,90;41.46;Não;Apartamento, 83.41 de área total, 39.30 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787708525648
 8555536534112 ;SP ;ARACATUBA ;CONJUNTO HABITACIONAL DOUTOR ANTONIO VIL ;RUA ANTONIO DOS SANTOS RIBEIRO, N. 174, Apto 405, BL 03 ;90.746,77;155.000,00;41.46;Não;Apartamento, 97.91 de área total, 47.76 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555536534112
 8787709115966 ;SP ;ARACATUBA ;AVIACAO ;ESTRADA VICINAL FAUSE, N. 399, Apto 301, BL 19 ;81.379,36;139.000,00;41.46;Não;Apartamento, 83.41 de área total, 39.30 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787709115966
 8787707148719 ;SP ;ARACATUBA ;CONJUNTO HABITACIONAL CLAUDIONOR CINTI ;TV ERNESTO NAZARET, N. 70, Apto 401, BL 04 ;81.964,82;140.000,00;41.46;Não;Apartamento, 87.82 de área total, 39.30 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787707148719
 8787720717772 ;SP ;ARACATUBA ;CONJUNTO HABITACIONAL LUANA II ;RUA RAIMUNDO BATISTA DE LIMA, N. 43, ;87.819,45;150.000,00;41.46;Não;Casa, 44.82 de área total, 44.82 de área privativa, 160.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787720717772
 8787709862770 ;SP ;ARACATUBA ;PARQUE AQUARELLE ; ESTRADA VICINAL FAUSE CHADE, N. 399, Apto 204, 2º PAVIMENTO BLOCO 16 ;94.815,14;160.000,00;40.75;Não;Apartamento, 83.41 de área total, 39.30 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787709862770
 8787701872679 ;SP ;ARACATUBA ;MONTE CARLO ;RUA PEDRO JANSER, N. 1086, Apto 204, BL 06 ;96.592,92;163.000,00;40.75;Não;Apartamento, 91.18 de área total, 44.01 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787701872679
 8787710873976 ;SP ;ARACATUBA ;UMUARAMA ;AV UMUARAMA, N. 1370, Apto 203, BL 5 ;96.592,92;163.000,00;40.75;Não;Apartamento, 87.87 de área total, 39.30 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787710873976
 8787711248579 ;SP ;ARACATUBA ;UMUARAMA ;AV UMUARAMA, N. 1370, Apto 101, BL 6 ;92.741,05;156.500,00;40.75;Não;Apartamento, 88.65 de área total, 39.30 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787711248579
 8787715058324 ;SP ;ARACATUBA ;PETIT-TRIANON ;RUA ELZA ALMEIDA LEMOS, N. 601, CS 01 ;104.296,65;176.000,00;40.75;Não;Casa, 108.09 de área total, 47.00 de área privativa, 99.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787715058324
